ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365769511,2026-02-17 22:02:49.511000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365769511,2026-02-17 22:02:49.511000,SOLUSDT,1,5.78,85.18,0.0,5.78,0.0,492.34040000000005
1771365769511,2026-02-17 22:02:49.511000,BNBUSDT,1,0.57,618.4,0.57,0.0,352.48799999999994,0.0
1771365769511,2026-02-17 22:02:49.511000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365770513,2026-02-17 22:02:50.513000,BTCUSDT,1,0.027,67617.7,0.027,0.0,1825.6779,0.0
1771365770513,2026-02-17 22:02:50.513000,ETHUSDT,1,0.653,1998.2,0.0,0.653,0.0,1304.8246000000001
1771365770513,2026-02-17 22:02:50.513000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365770513,2026-02-17 22:02:50.513000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365770513,2026-02-17 22:02:50.513000,XRPUSDT,1,55.0,1.4833,0.0,55.0,0.0,81.5815
1771365771522,2026-02-17 22:02:51.522000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365771522,2026-02-17 22:02:51.522000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365771522,2026-02-17 22:02:51.522000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365771522,2026-02-17 22:02:51.522000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365771522,2026-02-17 22:02:51.522000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365772532,2026-02-17 22:02:52.532000,BTCUSDT,1,0.027,67618.3,0.0,0.027,0.0,1825.6941000000002
1771365772532,2026-02-17 22:02:52.532000,ETHUSDT,1,0.859,1998.4,0.859,0.0,1716.6256,0.0
1771365772532,2026-02-17 22:02:52.532000,SOLUSDT,2,243.95,85.19,243.95,0.0,20782.100499999997,0.0
1771365772532,2026-02-17 22:02:52.532000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365772532,2026-02-17 22:02:52.532000,XRPUSDT,1,111.7,1.4833,111.7,0.0,165.68461000000002,0.0
1771365773538,2026-02-17 22:02:53.538000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365773538,2026-02-17 22:02:53.538000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365773538,2026-02-17 22:02:53.538000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365773538,2026-02-17 22:02:53.538000,BNBUSDT,1,0.42,618.5,0.0,0.42,0.0,259.77
1771365773538,2026-02-17 22:02:53.538000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365774548,2026-02-17 22:02:54.548000,BTCUSDT,1,0.034,67618.3,0.034,0.0,2299.0222000000003,0.0
1771365774548,2026-02-17 22:02:54.548000,ETHUSDT,1,0.475,1998.6,0.0,0.475,0.0,949.3349999999999
1771365774548,2026-02-17 22:02:54.548000,SOLUSDT,1,3.61,85.18,3.61,0.0,307.4998,0.0
1771365774548,2026-02-17 22:02:54.548000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365774548,2026-02-17 22:02:54.548000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365775559,2026-02-17 22:02:55.559000,BTCUSDT,1,0.034,67618.3,0.034,0.0,2299.0222000000003,0.0
1771365775559,2026-02-17 22:02:55.559000,ETHUSDT,1,1.172,1998.6,0.0,1.172,0.0,2342.3592
1771365775559,2026-02-17 22:02:55.559000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365775559,2026-02-17 22:02:55.559000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365775559,2026-02-17 22:02:55.559000,XRPUSDT,1,153.3,1.4833,0.0,153.3,0.0,227.38989000000004
1771365776567,2026-02-17 22:02:56.567000,BTCUSDT,1,0.001,67618.4,0.001,0.0,67.6184,0.0
1771365776567,2026-02-17 22:02:56.567000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365776567,2026-02-17 22:02:56.567000,SOLUSDT,2,383.06,85.19033963347779,383.06,0.0,32633.0115,0.0
1771365776567,2026-02-17 22:02:56.567000,BNBUSDT,1,0.35,618.5,0.0,0.35,0.0,216.475
1771365776567,2026-02-17 22:02:56.567000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365777575,2026-02-17 22:02:57.575000,BTCUSDT,1,0.025,67626.4,0.0,0.025,0.0,1690.6599999999999
1771365777575,2026-02-17 22:02:57.575000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365777575,2026-02-17 22:02:57.575000,SOLUSDT,1,0.39,85.21,0.39,0.0,33.231899999999996,0.0
1771365777575,2026-02-17 22:02:57.575000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365777575,2026-02-17 22:02:57.575000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365778583,2026-02-17 22:02:58.583000,BTCUSDT,1,0.025,67626.4,0.0,0.025,0.0,1690.6599999999999
1771365778583,2026-02-17 22:02:58.583000,ETHUSDT,1,2.201,1998.6,2.201,0.0,4398.9186,0.0
1771365778583,2026-02-17 22:02:58.583000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365778583,2026-02-17 22:02:58.583000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365778583,2026-02-17 22:02:58.583000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365779588,2026-02-17 22:02:59.588000,BTCUSDT,1,0.013,67626.4,0.013,0.0,879.1431999999999,0.0
1771365779588,2026-02-17 22:02:59.588000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365779588,2026-02-17 22:02:59.588000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365779588,2026-02-17 22:02:59.588000,BNBUSDT,1,0.61,618.6,0.61,0.0,377.346,0.0
1771365779588,2026-02-17 22:02:59.588000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365780597,2026-02-17 22:03:00.597000,BTCUSDT,2,0.034,67626.4,0.013,0.021,879.1431999999999,1420.1544
1771365780597,2026-02-17 22:03:00.597000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365780597,2026-02-17 22:03:00.597000,SOLUSDT,1,7.59,85.21,0.0,7.59,0.0,646.7438999999999
1771365780597,2026-02-17 22:03:00.597000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
