ts_unix_ms,ts_dt_utc,symbol,k1_start_ms,k1_close_ms,k1_open,k1_high,k1_low,k1_close,k1_base_vol,k1_quote_vol,k1_trades,k1_closed
1771369406577,2026-02-17 23:03:26.577000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.14,1937.739,8,False
1771369406577,2026-02-17 23:03:26.577000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,589.8,868.73216,8,False
1771369407590,2026-02-17 23:03:27.590000,BTCUSDT,1771369380000,1771369439999,67444.2,67476.4,67444.2,67476.4,1.098,74063.6204,22,False
1771369407590,2026-02-17 23:03:27.590000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.8,33.191,66128.5012,19,False
1771369407590,2026-02-17 23:03:27.590000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,98.95,8400.0979,12,False
1771369407590,2026-02-17 23:03:27.590000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.14,1937.739,8,False
1771369407590,2026-02-17 23:03:27.590000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,589.8,868.73216,8,False
1771369408607,2026-02-17 23:03:28.607000,BTCUSDT,1771369380000,1771369439999,67444.2,67480.7,67444.2,67480.7,1.17,78922.2308,23,False
1771369408607,2026-02-17 23:03:28.607000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.8,33.191,66128.5012,19,False
1771369408607,2026-02-17 23:03:28.607000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,98.95,8400.0979,12,False
1771369408607,2026-02-17 23:03:28.607000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.75,2314.231,9,False
1771369408607,2026-02-17 23:03:28.607000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,589.8,868.73216,8,False
1771369409627,2026-02-17 23:03:29.627000,BTCUSDT,1771369380000,1771369439999,67444.2,67480.8,67444.2,67480.8,1.179,79529.558,24,False
1771369409627,2026-02-17 23:03:29.627000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.8,33.849,67439.7636,20,False
1771369409627,2026-02-17 23:03:29.627000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,98.95,8400.0979,12,False
1771369409627,2026-02-17 23:03:29.627000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.75,2314.231,9,False
1771369409627,2026-02-17 23:03:29.627000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,589.8,868.73216,8,False
1771369410642,2026-02-17 23:03:30.642000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.348,90933.9774,26,False
1771369410642,2026-02-17 23:03:30.642000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.8,1992.0,1992.7,36.031,71787.835,21,False
1771369410642,2026-02-17 23:03:30.642000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,98.95,8400.0979,12,False
1771369410642,2026-02-17 23:03:30.642000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.75,2314.231,9,False
1771369410642,2026-02-17 23:03:30.642000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,644.8,949.75816,9,False
1771369411661,2026-02-17 23:03:31.661000,BTCUSDT,1771369380000,1771369439999,67444.2,67481.8,67444.2,67481.7,1.424,96062.5866,27,False
