ts_unix_ms,ts_dt_utc,symbol,bid1_px,bid2_px,bid3_px,bid4_px,bid5_px,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,ask1_px,ask2_px,ask3_px,ask4_px,ask5_px,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,obi5
1771368464510,2026-02-17 22:47:44.510000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.23,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.9,67591.7,3.945,0.038,0.009,0.041,0.148,-0.5565897244973939
1771368464510,2026-02-17 22:47:44.510000,ETHUSDT,1999.5,1999.3,1999.2,1999.1,1999.0,66.866,136.945,151.854,169.532,131.094,1999.6,1999.7,1999.8,1999.9,2000.0,45.248,8.808,34.289,204.875,47.422,0.31662007376624096
1771368464510,2026-02-17 22:47:44.510000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.94,3812.09,2867.1,3146.66,85.24,85.25,85.26,85.27,85.28,4706.59,3539.96,3335.13,3874.07,4790.44,-0.20909012730979668
1771368464510,2026-02-17 22:47:44.510000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,92.68,341.01,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,293.14,-0.010150401981997433
1771368464510,2026-02-17 22:47:44.510000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,21092.0,40525.5,67940.5,40775.4,21886.8,1.4781,1.4782,1.4783,1.4784,1.4785,27896.2,42819.4,23878.8,64539.5,51499.1,-0.0457059792500098
1771368465523,2026-02-17 22:47:45.523000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.23,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.9,67591.1,3.945,0.009,0.009,0.041,0.029,-0.5440275650842267
1771368465523,2026-02-17 22:47:45.523000,ETHUSDT,1999.5,1999.3,1999.2,1999.1,1999.0,68.232,174.458,113.257,169.532,131.094,1999.6,1999.7,1999.8,1999.9,2000.0,33.657,3.885,35.822,167.374,84.922,0.3368986788267143
1771368465523,2026-02-17 22:47:45.523000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.94,3812.09,2867.1,3145.53,85.24,85.25,85.26,85.27,85.28,4706.59,3539.96,3335.13,3874.07,4790.44,-0.20913092514728038
1771368465523,2026-02-17 22:47:45.523000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,357.63,268.85,154.42,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,293.14,-0.010150401981997341
1771368465523,2026-02-17 22:47:45.523000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,10297.6,41128.2,62865.4,56001.7,21886.8,1.4781,1.4782,1.4783,1.4784,1.4785,40032.3,42376.9,39098.9,54393.4,35429.2,-0.0474609824182971
1771368466535,2026-02-17 22:47:46.535000,BTCUSDT,67589.9,67589.8,67589.7,67586.7,67586.5,0.23,0.009,0.019,0.029,0.147,67590.0,67590.1,67590.2,67590.9,67591.7,3.945,0.009,0.009,0.041,0.148,-0.8107283035324901
1771368466535,2026-02-17 22:47:46.535000,ETHUSDT,1999.5,1999.3,1999.2,1999.1,1999.0,68.996,173.276,112.875,169.532,131.094,1999.6,1999.7,1999.8,1999.9,2000.0,33.621,3.885,35.822,167.338,84.922,0.3364562072468745
